Clock name,Data type,Species,Predicts,Training target,Unit,Tissue,Platform,Population,Model type,N features,Year,Citations,Citations date,Last author,Journal,DOI,Notes,Preprocess,Postprocess,Reference values,Verified
epicmithypo,DNA methylation,Homo sapiens,mitotic age,replicative history,proportion,B cells,Illumina 450K | Illumina EPIC,"human, age unspecified",complement of mean methylation,1164,2020,104,2026-07-05,José I. Martín-Subero,Nature Cancer,https://doi.org/10.1038/s43018-020-00131-2,"Hypomethylation component of epiCMIT: a 1,164-CpG score ranging from 0 to 1 that tracks low-to-high relative proliferative history in normal and neoplastic B cells.",mean,,True,Not yet
epitoc1,DNA methylation,Homo sapiens,mitotic age,chronological age,beta value,multi-tissue | whole blood,Illumina 450K,all ages,mean methylation aggregation,385,2016,357,2026-07-05,Andrew E. Teschendorff,Genome Biology,https://doi.org/10.1186/s13059-016-1064-3,Relative mitotic-age score equal to the mean beta value across 385 polycomb-target promoter CpGs; it is not an absolute division count.,mean,,True,Not yet
epitoc2,DNA methylation,Homo sapiens,mitotic age,chronological age,cell divisions per stem cell,whole blood,Illumina 450K,adults,dynamic methylation transmission model,163,2020,155,2026-07-05,Andrew E. Teschendorff,Genome Medicine,https://doi.org/10.1186/s13073-020-00752-3,Dynamic methylation-transmission model returning total cumulative stem-cell divisions per stem cell; an intrinsic rate additionally requires chronological age but is not this implementation's returned value.,nan_to_zero,,True,Not yet
epitoc3,DNA methylation,Homo sapiens,mitotic age,population doublings,cell divisions per stem cell,cultured primary human cells | whole blood | multi-tissue | cord blood,Illumina 450K | Illumina EPIC,all ages,dynamic methylation transmission model,170,2020,155,2026-07-05,Andrew E. Teschendorff,Genome Medicine,https://doi.org/10.1186/s13073-020-00752-3,"Code-defined 170-CpG extension of the dynamic mitotic model. Official EpiMitClocks data show that all 170 sites are a subset of the 371 stemTOC vivo-mitCpGs derived from fetal/neonatal references, six normal proliferating cell lines, and three adult whole-blood cohorts. The assigned 2020 dynamic-model paper does not name or define epiTOC3.",nan_to_zero,,True,Not yet
garagnani,DNA methylation,Homo sapiens,ELOVL2 methylation,not applicable,beta value,whole blood,Illumina 450K,all ages,single-CpG score,1,2012,500,2026-07-05,Claudio Franceschi,Aging Cell,https://doi.org/10.1111/acel.12005,"The source study identified age-associated ELOVL2 methylation, but did not publish a one-CpG age equation. Pyaging returns the raw cg16867657 methylation beta value using coefficient 1 and zero intercept; it does not return calibrated chronological age.",,,,Not yet
gliasin,DNA methylation,Homo sapiens,chronological age,chronological age,years,brain cortex,Illumina 450K,adults,elastic net regression,220,2024,25,2026-07-05,Andrew E. Teschendorff,Aging,https://doi.org/10.18632/aging.206184,Glia-Sin is a glia semi-intrinsic chronological-age clock: elastic-net regression was restricted to glia age-DMCTs but fitted to methylation values not adjusted for brain cell fractions.,,,,Not yet
grimage,DNA methylation,Homo sapiens,mortality risk,mortality,years,whole blood,Illumina 450K,adults,two-stage elastic net + Cox regression,1032,2019,2610,2026-07-05,Steve Horvath,Aging (Albany NY),https://doi.org/10.18632/aging.101684,"Age-calibrated mortality-risk estimator built in two stages from DNAm surrogates for plasma proteins and smoking pack-years, chronological age, and sex.",,cox_to_years,True,Not yet
grimage2,DNA methylation,Homo sapiens,mortality risk,mortality,years,whole blood,Illumina 450K,older adults,elastic net Cox regression,1032,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,Mortality-risk epigenetic clock combining ten blood DNAm surrogate biomarkers with chronological age and sex; the Cox linear predictor is calibrated to an age-like value in years.,,cox_to_years,True,Not yet
grimage2adm,DNA methylation,Homo sapiens,adrenomedullin,adrenomedullin,picograms per milliliter,whole blood,Illumina 450K,older adults,elastic net regression,187,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,ADM is a vasodilator peptide hormone; DNAm ADM is an inherited GrimAge plasma-protein surrogate.,,cox_to_years,True,Not yet
grimage2b2m,DNA methylation,Homo sapiens,beta-2-microglobulin,beta-2-microglobulin,picograms per milliliter,whole blood,Illumina 450K,older adults,elastic net regression,92,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,"B2M is linked to kidney function, cardiovascular disease and inflammation; DNAm B2M is a GrimAge component.",,cox_to_years,True,Not yet
grimage2cystatinc,DNA methylation,Homo sapiens,cystatin C,cystatin C,picograms per milliliter,whole blood,Illumina 450K,older adults,elastic net regression,88,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,Cystatin C is a kidney-function biomarker; DNAm Cystatin C is a GrimAge component.,,cox_to_years,True,Not yet
grimage2gdf15,DNA methylation,Homo sapiens,GDF-15,GDF-15,picograms per milliliter,whole blood,Illumina 450K,older adults,elastic net regression,138,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,GDF-15 is implicated in aging and mitochondrial dysfunction; DNAm GDF-15 is a GrimAge component.,,cox_to_years,True,Not yet
grimage2leptin,DNA methylation,Homo sapiens,leptin,leptin,picograms per milliliter,whole blood,Illumina 450K,older adults,elastic net regression,187,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,Leptin is an adipose-derived hormone regulating energy balance; DNAm leptin is a GrimAge component.,,cox_to_years,True,Not yet
grimage2loga1c,DNA methylation,Homo sapiens,hemoglobin A1c,hemoglobin A1c,natural-log percent,whole blood,Illumina 450K,older adults,elastic net regression,87,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,DNAm logA1C estimates the natural logarithm of winsorized hemoglobin A1C percentage and was newly added to GrimAge2.,,cox_to_years,True,Not yet
grimage2logcrp,DNA methylation,Homo sapiens,C-reactive protein,C-reactive protein,natural-log milligrams per liter,whole blood,Illumina 450K,older adults,elastic net regression,132,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,DNAm logCRP estimates the natural logarithm of winsorized high-sensitivity CRP concentration and was newly added to GrimAge2.,,cox_to_years,True,Not yet
grimage2packyrs,DNA methylation,Homo sapiens,smoking exposure,smoking exposure,pack-years,whole blood,Illumina 450K,older adults,elastic net regression,173,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,DNAm PACKYRS is a methylation surrogate for cumulative smoking exposure and a GrimAge component.,,cox_to_years,True,Not yet
grimage2pai1,DNA methylation,Homo sapiens,PAI-1,PAI-1,picograms per milliliter,whole blood,Illumina 450K,older adults,elastic net regression,211,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,PAI-1 is linked to inflammation and metabolic conditions; DNAm PAI-1 is a GrimAge component.,,,True,Not yet
grimage2timp1,DNA methylation,Homo sapiens,TIMP-1,TIMP-1,picograms per milliliter,whole blood,Illumina 450K,older adults,elastic net regression,43,2022,291,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204434,TIMP-1 inhibits metalloproteinases and has proliferative/anti-apoptotic roles; DNAm TIMP-1 is a GrimAge component.,,cox_to_years,True,Not yet
hannum,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina 450K,adults,elastic net regression,71,2013,4501,2026-07-05,Kang Zhang,Molecular Cell,https://doi.org/10.1016/j.molcel.2012.10.016,"Whole-blood elastic-net predictor of chronological age from 71 CpG methylation fractions, derived in a 482-person primary cohort and validated in 174 independent participants.",,,,Not yet
hep,DNA methylation,Homo sapiens,chronological age,chronological age,years,liver,Illumina EPIC,adults,LASSO regression,70,2024,25,2026-07-05,Andrew E. Teschendorff,Aging,https://doi.org/10.18632/aging.206184,HepClock is a hepatocyte-specific chronological-age clock trained by lasso on hepatocyte age-DMCTs identified with CellDMC after estimating five liver cell fractions.,,,,Not yet
hepatoxu,DNA methylation,Homo sapiens,hepatocellular carcinoma,hepatocellular carcinoma,unitless,plasma cell-free DNA,targeted bisulfite sequencing,adults,feature-selected logistic regression,10,2017,884,2026-07-05,Kang Zhang,Nature Materials,https://doi.org/10.1038/nmat4997,Ten-marker plasma cfDNA methylation logistic model producing the combined HCC diagnosis score (cd-score); this packaged model does not implement the separate eight-marker prognosis score.,,,,Not yet
horvath2013,DNA methylation,Homo sapiens,chronological age,chronological age,years,multi-tissue,Illumina 27K | Illumina 450K,all ages,elastic net regression,353,2013,7318,2026-07-05,Steve Horvath,Genome Biology,https://doi.org/10.1186/gb-2013-14-10-r115,Pan-tissue DNAm-age predictor fitted by elastic net to a transformed chronological-age outcome and returned to the year scale; it uses 353 CpGs shared between the 27K and 450K arrays.,,anti_log_linear,True,Not yet
hrsinchphenoage,DNA methylation,Homo sapiens,phenotypic age,phenotypic age,years,whole blood,Illumina 450K | Illumina EPIC,adults,weighted linear score,959,2022,497,2026-07-05,Morgan E. Levine,Nature Aging,https://doi.org/10.1038/s43587-022-00248-2,CpG-weighted HRS/InCHIANTI retraining of DNAm PhenoAge produced during the PC-clocks work; this implementation is not a principal-component clock.,,,,Not yet
hypoclock,DNA methylation,Homo sapiens,mitotic age,not applicable,beta value,multi-tissue,Illumina 450K,"human, age unspecified",mean aggregation,678,2020,452,2026-07-05,Andrew E. Teschendorff,Genome Medicine,https://doi.org/10.1186/s13073-020-00752-3,"Pyaging returns an inverted HypoClock burden score, 1 minus the mean beta value across 678 solo-WCGW CpGs; higher values therefore indicate deeper PMD hypomethylation. The assigned 2018 paper is the biological precursor, while the named 678-site implementation is from 2020.",mean,one_minus,True,Not yet
intrinclock,DNA methylation,Homo sapiens,chronological age,chronological age,years,multi-tissue,Illumina 450K | Illumina EPIC,all ages,two-stage elastic net regression,380,2024,53,2026-07-05,Eric Verdin,Communications Biology,https://doi.org/10.1038/s42003-024-06609-4,"Multi-tissue chronological-age clock designed by excluding CpGs associated with CD8+ T-cell differentiation, then fitting two sequential elastic-net models so predictions remain stable across immune-cell composition.",,anti_log_linear,,Not yet
lin,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina 27K | Illumina 450K,adults,linear regression,99,2016,256,2026-07-05,Wolfgang Wagner,Aging,https://doi.org/10.18632/aging.100908,Whole-blood 99-CpG multivariate age estimator trained to predict chronological age; age acceleration from the model was secondarily tested for association with all-cause mortality.,,,,Not yet
mammalian1,DNA methylation,multiple species,chronological age,chronological age,years,multi-tissue,Horvath MammalMethylChip40,multiple mammalian species,elastic net regression,335,2023,390,2026-07-05,Steve Horvath,Nature Aging,https://doi.org/10.1038/s43587-023-00462-6,"Universal pan-mammalian clock 1: elastic-net regression of log-transformed chronological age on conserved mammalian-array CpGs, back-transformed to years.",,anti_logp2,,Not yet
mammalian2,DNA methylation,multiple species,chronological age,relative age,years,multi-tissue,Horvath MammalMethylChip40,multiple mammalian species,elastic net regression,2572,2023,390,2026-07-05,Steve Horvath,Nature Aging,https://doi.org/10.1038/s43587-023-00462-6,Universal pan-mammalian clock 2 fits relative age (age divided by species maximum lifespan) and the author inverse transformation returns species-adjusted chronological age in years.,,mammalian2,True,Not yet
mammalian3,DNA methylation,multiple species,chronological age,chronological age,years,multi-tissue,Horvath MammalMethylChip40,multiple mammalian species,elastic net regression,2467,2023,390,2026-07-05,Steve Horvath,Nature Aging,https://doi.org/10.1038/s43587-023-00462-6,Universal pan-mammalian clock 3 fits a log-linear age transformation based on gestation and sexual maturity and returns chronological age in years.,,mammalian3,True,Not yet
mammalianblood2,DNA methylation,multiple species,chronological age,relative age,years,blood,Horvath MammalMethylChip40,multiple mammalian species,elastic net regression,2257,2023,390,2026-07-05,Steve Horvath,Nature Aging,https://doi.org/10.1038/s43587-023-00462-6,Blood-specific universal clock 2 fits relative age and returns species-adjusted chronological age in years after the maximum-lifespan inverse transformation.,,mammalian2,True,Not yet
mammalianblood3,DNA methylation,multiple species,chronological age,chronological age,years,blood,Horvath MammalMethylChip40,multiple mammalian species,elastic net regression,2097,2023,390,2026-07-05,Steve Horvath,Nature Aging,https://doi.org/10.1038/s43587-023-00462-6,Blood-specific universal clock 3 fits the gestation/maturity-based log-linear age transformation and returns chronological age in years.,,mammalian3,True,Not yet
mammalianfemale,DNA methylation,multiple species,sex,sex,probability,multi-tissue,mammalian methylation array,multiple mammalian species,elastic net regression,101,2023,5,2026-07-05,Steve Horvath,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.1101/2023.11.02.565286,Pan-mammalian elastic-net sex classifier based on conserved CpG methylation; the returned value is the probability that a sample is female.,,sigmoid,,Not yet
mammalianlifespan,DNA methylation,multiple species,species maximum lifespan,species maximum lifespan,years,multi-tissue,mammalian methylation array,multiple mammalian species,elastic net regression,152,2023,5,2026-07-05,Steve Horvath,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.1101/2023.11.02.565286,Pan-mammalian tissue-agnostic elastic-net predictor fitted to log species maximum life span from conserved CpG methylation; pyaging exponentiates the linear output to years.,,anti_log,True,Not yet
mammalianskin2,DNA methylation,multiple species,chronological age,relative age,years,skin,Horvath MammalMethylChip40,multiple mammalian species,elastic net regression,2240,2023,390,2026-07-05,Steve Horvath,Nature Aging,https://doi.org/10.1038/s43587-023-00462-6,Skin-specific universal clock 2 fits relative age and returns species-adjusted chronological age in years after the maximum-lifespan inverse transformation.,,mammalian2,True,Not yet
mammalianskin3,DNA methylation,multiple species,chronological age,chronological age,years,skin,Horvath MammalMethylChip40,multiple mammalian species,elastic net regression,2055,2023,390,2026-07-05,Steve Horvath,Nature Aging,https://doi.org/10.1038/s43587-023-00462-6,Skin-specific universal clock 3 fits the gestation/maturity-based log-linear age transformation and returns chronological age in years.,,mammalian3,True,Not yet
mayne,DNA methylation,Homo sapiens,gestational age,gestational age,weeks,placenta,Illumina 27K | Illumina 450K,pregnancies,elastic net regression,62,2017,150,2026-07-05,Tina Bianco‐Miotto,Epigenomics,https://doi.org/10.2217/epi-2016-0103,Placental elastic-net clock trained on pooled healthy human placenta methylation datasets; 62 selected CpGs predict gestational age and were used to test age acceleration in early-onset preeclampsia.,,,,Not yet
mccartneyalcohol,DNA methylation,Homo sapiens,alcohol consumption,alcohol consumption,units per week,whole blood,Illumina EPIC,adults,LASSO regression,450,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for alcohol consumption, trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,,,Not yet
mccartneybmi,DNA methylation,Homo sapiens,body mass index,body mass index,unitless,whole blood,Illumina EPIC,adults,LASSO regression,1109,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for body mass index (BMI), trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,sigmoid,,Not yet
mccartneybodyfat,DNA methylation,Homo sapiens,body fat percentage,body fat percentage,unitless,whole blood,Illumina EPIC,adults,LASSO regression,968,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for body fat percentage, trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,sigmoid,,Not yet
mccartneyeducation,DNA methylation,Homo sapiens,educational attainment,educational attainment,unitless,whole blood,Illumina EPIC,adults,LASSO regression,373,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for educational attainment, trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,sigmoid,,Not yet
mccartneyhdlcholesterol,DNA methylation,Homo sapiens,HDL cholesterol,HDL cholesterol,unitless,whole blood,Illumina EPIC,adults,LASSO regression,737,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for HDL cholesterol, trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,sigmoid,,Not yet
mccartneyldlcholesterol,DNA methylation,Homo sapiens,LDL cholesterol,LDL cholesterol,unitless,whole blood,Illumina EPIC,adults,LASSO regression,233,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for LDL with remnant cholesterol, trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,sigmoid,,Not yet
mccartneysmoking,DNA methylation,Homo sapiens,smoking exposure,smoking exposure,pack-years,whole blood,Illumina EPIC,adults,LASSO regression,233,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for smoking exposure (pack-years), trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,,,Not yet
mccartneytotalcholesterol,DNA methylation,Homo sapiens,total cholesterol,total cholesterol,unitless,whole blood,Illumina EPIC,adults,LASSO regression,204,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for total cholesterol, trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,sigmoid,,Not yet
mccartneytotalhdlratio,DNA methylation,Homo sapiens,total-to-HDL cholesterol ratio,total-to-HDL cholesterol ratio,ratio,whole blood,Illumina EPIC,adults,LASSO regression,412,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for total-to-HDL cholesterol ratio, trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,,,Not yet
mccartneywhr,DNA methylation,Homo sapiens,waist-to-hip ratio,waist-to-hip ratio,ratio,whole blood,Illumina EPIC,adults,LASSO regression,226,2018,301,2026-07-05,Riccardo E. Marioni,Genome Biology,https://doi.org/10.1186/s13059-018-1514-1,"Whole-blood DNAm LASSO score for waist-to-hip ratio, trained in Generation Scotland on an age-, sex-, and ancestry-adjusted phenotype residual and evaluated out of sample in LBC1936.",,,,Not yet
meer,DNA methylation,Mus musculus,chronological age,chronological age,days,multi-tissue,RRBS,mice,elastic net regression,435,2018,203,2026-07-05,Vadim N. Gladyshev,eLife,https://doi.org/10.7554/elife.40675,Whole Lifespan Multi-Tissue (WLMT) mouse clock trained by elastic net on RRBS methylation percentages from untreated wild-type C57BL/6 samples.,,,,Not yet
neusin,DNA methylation,Homo sapiens,chronological age,chronological age,years,brain cortex,Illumina 450K,adults,elastic net regression,672,2024,25,2026-07-05,Andrew E. Teschendorff,Aging,https://doi.org/10.18632/aging.206184,Neu-Sin is a neuron semi-intrinsic chronological-age clock: elastic-net regression was restricted to neuron age-DMCTs but fitted to methylation values not adjusted for brain cell fractions.,,,,Not yet
ocampoatac1,chromatin accessibility,Homo sapiens,chronological age,chronological age,years,peripheral blood mononuclear cells,ATAC-seq,adults,elastic net regression,228,2023,49,2026-07-05,Alejandro Ocampo,GeroScience,https://doi.org/10.1007/s11357-023-00986-0,"Published final ATAC-clock coefficient-table implementation using 228 open chromatin regions from the 80,400-region input peak set.",tpm_norm_log1p,,,Not yet
ocampoatac2,chromatin accessibility,Homo sapiens,chronological age,chronological age,years,peripheral blood mononuclear cells,ATAC-seq,adults,elastic net regression,380,2023,49,2026-07-05,Alejandro Ocampo,GeroScience,https://doi.org/10.1007/s11357-023-00986-0,"Alternate packaged implementation loaded from the authors' GitHub final_coefs.tsv; it represents the same uncorrected final ATAC-clock target, not a deployable cell-composition-corrected clock.",tpm_norm_log1p,,,Not yet
pcdnamtl,DNA methylation,Homo sapiens,leukocyte telomere length,DNAmTL output,base pairs,whole blood,Illumina 450K,adults,PCA + elastic net regression,78464,2022,497,2026-07-05,Morgan E. Levine,Nature Aging,https://doi.org/10.1038/s43587-022-00248-2,Principal-component proxy trained to reproduce the original DNAmTL clock score; the implemented returned score is on the DNAmTL base-pair scale.,,,True,Not yet
pcgrimage,DNA methylation,Homo sapiens,mortality risk,DNAm GrimAge output,years,whole blood,Illumina 450K,adults,PCA + elastic net regression,78466,2022,497,2026-07-05,Morgan E. Levine,Nature Aging,https://doi.org/10.1038/s43587-022-00248-2,Principal-component proxy trained to reproduce the original DNAm GrimAge score; age and sex are additional model inputs.,,,True,Not yet
pchannum,DNA methylation,Homo sapiens,chronological age,Hannum clock output,years,whole blood,Illumina 450K,adults,PCA + elastic net regression,78464,2022,497,2026-07-05,Morgan E. Levine,Nature Aging,https://doi.org/10.1038/s43587-022-00248-2,Principal-component proxy trained to reproduce the original Hannum whole-blood age-clock score.,,,True,Not yet
pchorvath2013,DNA methylation,Homo sapiens,chronological age,Horvath clock output,years,multi-tissue,Illumina 450K | Illumina EPIC,all ages,PCA + elastic net regression,78464,2022,497,2026-07-05,Morgan E. Levine,Nature Aging,https://doi.org/10.1038/s43587-022-00248-2,"Principal-component proxy of the 2013 Horvath pan-tissue clock, trained against the original clock score using substituted multi-tissue datasets.",,anti_log_linear,True,Not yet
pcphenoage,DNA methylation,Homo sapiens,phenotypic age,phenotypic age,years,whole blood,Illumina 450K | Illumina EPIC,adults,PCA + elastic net regression,78464,2022,497,2026-07-05,Morgan E. Levine,Nature Aging,https://doi.org/10.1038/s43587-022-00248-2,Principal-component DNAm PhenoAge model trained directly on phenotypic-age scores rather than as a proxy of the original CpG clock.,,,True,Not yet
pcskinandblood,DNA methylation,Homo sapiens,chronological age,skin-and-blood clock output,years,skin | whole blood | cultured fibroblasts,Illumina 450K | Illumina EPIC,all ages,PCA + elastic net regression,78464,2022,497,2026-07-05,Morgan E. Levine,Nature Aging,https://doi.org/10.1038/s43587-022-00248-2,"Principal-component proxy of the skin-and-blood age clock, trained against the original Horvath2 score using skin, blood, and fibroblast datasets.",,anti_log_linear,True,Not yet
pedbe,DNA methylation,Homo sapiens,chronological age,chronological age,years,buccal epithelium,Illumina 450K | Illumina EPIC,children and adolescents,elastic net regression,94,2020,292,2026-07-05,Michael S. Kobor,Proceedings of the National Academy of Sciences of the United States of America,https://doi.org/10.1073/pnas.1820843116,Pediatric chronological-age estimator developed specifically for noninvasive buccal epithelial-cell samples.,,anti_log_linear,,Not yet
petkovich,DNA methylation,Mus musculus,chronological age,chronological age,months,whole blood,bisulfite sequencing,mice,elastic net regression,90,2017,441,2026-07-05,Vadim N. Gladyshev,Cell Metabolism,https://doi.org/10.1016/j.cmet.2017.03.016,"Mouse blood DNA-methylation age clock built by regression on reduced-representation bisulfite-sequencing CpGs, estimating biological age and shown to be slowed by lifespan-extending interventions such as caloric restriction and dwarfism.",,petkovich,,Not yet
phenoage,clinical biomarkers,Homo sapiens,phenotypic age,mortality,years,blood,clinical laboratory assays,adults,penalized hazards regression with Gompertz calibration,10,2018,3594,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.101414,Clinical Phenotypic Age combines chronological age with nine blood biomarkers selected by penalized mortality regression and expresses mortality risk as an equivalent age in years.,,mortality_to_phenoage,,Not yet
prostatecancerkirby,DNA methylation,Homo sapiens,prostate cancer,prostate cancer,log odds,prostate,Illumina 450K,adult men,logistic regression,3,2017,61,2026-07-05,Richard M. Myers,BMC Cancer,https://doi.org/10.1186/s12885-017-3252-2,Three-CpG prostate-tissue diagnostic classifier distinguishing malignant from benign-adjacent tissue; it was trained on 73 tumors and 63 benign-adjacent samples and externally validated in TCGA.,,,,Not yet
reedbmi,DNA methylation,Homo sapiens,BMI methylation score,body mass index,unitless,whole blood | cord blood,Illumina 450K,all ages,weighted methylation aggregation,135,2020,86,2026-07-05,Gibran Hemani,Clinical Epigenetics,https://doi.org/10.1186/s13148-020-00841-5,"Weighted blood-DNA-methylation score built from published BMI EWAS effect estimates and evaluated across the ARIES life course; it is a biomarker associated with concurrent BMI, not a calibrated prediction in kilograms.",,,,Not yet
replitali,DNA methylation,Homo sapiens,replicative history,population doublings,population doublings,cultured primary human cells,Illumina EPIC,human cell cultures,elastic net regression,87,2022,86,2026-07-05,Peter W. Laird,Nature Communications,https://doi.org/10.1038/s41467-022-34268-8,Final RepliTali model estimating relative cumulative replicative history from methylation in common partially methylated domains; it was fitted to normalized population doublings across serially cultured primary human cells.,,,,Not yet
replitalinorm,DNA methylation,Homo sapiens,replicative history,population doublings,population doublings,cultured fibroblasts,Illumina EPIC,human cell cultures,elastic net regression,218,2022,86,2026-07-05,Peter W. Laird,Nature Communications,https://doi.org/10.1038/s41467-022-34268-8,Upstream starting-PD normalization model used during RepliTali construction. It was trained only in the chronologically youngest fetal skin fibroblast line (AG06561) to estimate the unobserved pre-culture replicative-history offset; it is not the final 87-CpG RepliTali model.,,,,Not yet
retroelementagev1,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina EPIC,all ages,elastic net regression,1317,2024,26,2026-07-05,Michael J. Corley,Aging Cell,https://doi.org/10.1111/acel.14288,"Whole-blood Retroelement-Age V1, trained by 10-fold-cross-validated elastic net on EPIC v1.0 CpGs annotated to HERV and active LINE elements.",,,,Not yet
retroelementagev2,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina EPIC,all ages,elastic net regression,1378,2024,26,2026-07-05,Michael J. Corley,Aging Cell,https://doi.org/10.1111/acel.14288,Composite Retroelement-Age V2 extends the retroelement annotation to CpGs compatible across EPIC v1.0 and v2.0 and was trained by 10-fold-cross-validated elastic net.,,,,Not yet
senchronoage,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina 450K | Illumina EPIC,adults,elastic net regression,187,2026,0,2026-07-05,Albert T. Higgins-Chen,Aging Cell,https://doi.org/10.1111/acel.70430,"Senescence-enriched chronological-age predictor restricted to CpGs whose directions were concordant across in-vitro senescence, age and mortality analyses.",,,,Not yet
sencultureage,DNA methylation,Homo sapiens,cellular senescence,cellular senescence,log odds,cultured fibroblasts | cultured mesenchymal stromal cells,Illumina 450K | Illumina EPIC,human cell cultures,elastic net logistic regression,142,2026,0,2026-07-05,Albert T. Higgins-Chen,Aging Cell,https://doi.org/10.1111/acel.70430,"Binomial elastic-net classifier of in-vitro cellular senescence, trained after ComBat correction on pooled human fibroblast and mesenchymal-stromal-cell datasets and restricted to direction-concordant senescence/age/mortality CpGs.",,,,Not yet
senmortalityage,DNA methylation,Homo sapiens,mortality risk,mortality,log hazard,whole blood,Illumina 450K | Illumina EPIC,adults,elastic net Cox regression,91,2026,0,2026-07-05,Albert T. Higgins-Chen,Aging Cell,https://doi.org/10.1111/acel.70430,"Senescence-enriched elastic-net Cox predictor of mortality, restricted to direction-concordant senescence/age/mortality CpGs and trained in the Framingham Heart Study.",,,,Not yet
skinandblood,DNA methylation,Homo sapiens,chronological age,chronological age,years,buccal epithelium | whole blood | epithelium | cultured fibroblasts | skin | cord blood,Illumina 450K | Illumina EPIC,all ages,elastic net regression,391,2018,853,2026-07-05,Kenneth Raj,Aging,https://doi.org/10.18632/aging.101508,"Multi-tissue 391-CpG elastic-net chronological-age clock optimized with training data from buccal cells, whole blood, epithelium, fibroblasts, skin and cord blood; it is particularly accurate for skin-derived and cultured cells.",,anti_log_linear,,Not yet
stemtocvitro,DNA methylation,Homo sapiens,mitotic age,population doublings,beta value,multi-tissue | cultured human cells,Illumina 450K | Illumina EPIC,prenatal and newborn,95th-percentile methylation aggregation,629,2024,24,2026-07-05,Andrew E. Teschendorff,Nature Communications,https://doi.org/10.1038/s41467-024-48649-8,In-vitro precursor of stemTOC based on the 95th percentile across 629 population-doubling-associated CpGs.,0.95 quantile,,True,Not yet
